Timestamp,Filename,Language,Full Path,Error Type,Error Message
2025-12-08 18:07:24,A Mao Segurou O Martelo.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/A Mao Segurou O Martelo.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:07:53,A mighty fortress.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/A mighty fortress.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:08:22,A new Hallelujah.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/A new Hallelujah.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:08:52,Abba Father Let Me Be.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/Abba Father Let Me Be.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:09:22,Adonai (Hillsong).doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/Adonai (Hillsong).doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:09:51,Adonai (Paul Wilbur).doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/Adonai (Paul Wilbur).doc,TIMEOUT,API timeout (>30s)
