Timestamp,Filename,Language,Full Path,Error Type,Error Message
2025-12-08 18:29:36,Beneath the waters - I will rise.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/Beneath the waters - I will rise.doc,EMPTY_CONTENT,Empty content after extraction
2025-12-08 18:29:38,Emmanuel - Together in this place - Hillsong.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/Emmanuel - Together in this place - Hillsong.doc,EMPTY_CONTENT,Empty content after extraction
2025-12-08 18:30:14,amaanushikamaya.doc,malayalam,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua Malayalam Slides/amaanushikamaya.doc,EMPTY_CONTENT,Empty content after extraction
2025-12-08 18:30:27,blank.doc,hindi,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua Hindi Slides/blank.doc,EMPTY_CONTENT,Empty content after extraction
